ㄱㅡㅂㅎㅏㄷㅏ	G EU Ph A D A
ㄲㅗㄹㅣ	GG O R I
ㄴㅡㅈㅇㅓㅆㅈㅣㅁㅏㄴ	N EU J EO t JJ I M A N
ㅁㅏㄶㅇㅣ	M A N I
ㄸㅗ	DD O
ㄷㅏㄷㅎㅣㄷㅏ	D A Th I D A
ㄱㅣㅃㅡㅂㄴㅣㄷㅏ	G I BB EU M N I D A
ㄷㅐㄷㅏㄴㅎㅏㄴㅔㅇㅛ	D E D A N A N E iO
ㄲㅐㄲㅡㅅㅇㅣ	GG E GG EU S I
ㄱㅣㅂㅜㄱㅡㅁㅇㅡㄹㅗ	G I B U G EU M EU R O
ㄷㅡㄷㄱㅗ	D EU t GG O
ㄲㅡㅌㄴㅏㅆㅇㅡㄹㄱㅓㄹ	GG EU N N A SS EU L G EO L
ㄷㅟㅅㅇㅣㄹㅇㅡㄴ	D UI S I R EU N
ㄴㅏㅁㅜㅅㅇㅣㅍ	N A M U S I M
ㄸㅏㄱ	D A Kh
ㄴㅐㄱㅏ	N E G A
ㄷㅚㄹㄲㅏㅇㅛ	D OE L GG A iO
ㄲㅡㅂㅅㅣㄷㅏ	G EU p SS I D A
ㄷㅡㄹㅇㅓㅆㄴㅡㄴㄷㅔ	D EU R EO N N EU N D E
ㄴㅏㄱㅏㅆㄴㅡㄴㄷㅔ	N A G A N N EU N D E
ㄸㅏㄸㅡㅅㅎㅏㅈㅣㅇㅛ	D A DD EU Th A J I iO
ㅁㅏㄹㅆㅡㅁㅇㅡㄹ	M A L SS EU M EU L
ㅁㅓㄴㅈㅓ	M EO N J EO
ㅁㅏㄶㅇㅡㄹ	M A N EU L
ㅁㅜㄴ	M U N
ㄲㅡㅀㄴㅡㄴㄷㅔ	G EU N N EU N D E
ㅂㅏㄹㅏㅂㄴㅣㄷㅏ	B A R A M N I D A
ㄷㅡㅅㅣㄹ	D EU S I N
ㅁㅏㄱㅎㅣㄴㅏ	M A Kh I N A
ㄴㅏㅈㅇㅏㅇㅛ	N A J A iO
ㅁㅓㄱㅇㅓㄹㅏ	M EO G EO R A
ㄴㅕㄴ	N iEO N
ㅁㅕㅇㅇㅣㅇㅔㅇㅛ	M iEO NG I E iO
ㄴㅗㄱㅅㅐㄱ	N O k SS E k
ㅁㅜㄴㅇㅡㄹ	M U N EU L
ㄴㅡㅈㄱㅔ	N EU t GG E
ㅂㅏㄴㅊㅏㄴ	B A N CHh A N
ㅂㅓㅂㅇㅝㄴ	B EO B uEO N
ㅂㅗㅅㅕㅆㅇㅓㅇㅛ	B O S iEO SS EO iO
ㅂㅜㅁㅗㄴㅣㅁ	B U M O N I M
ㅂㅜㅇㅓㅋㅇㅔ	B U EO Kh E
ㄴㅜㄱㅜㅎㅏㄱㅗ	N U G U A G O
ㄲㅡㄱㅗ	G EU G O
ㄷㅏㄹㅡㄷㅏㄴㅡㄴ	D A R EU D A N EU N
ㄷㅏㅅㅓㅅ	D A S EO t
ㄷㅡㅇㄹㅗㄱㄱㅡㅁㅇㅔ	D EU NG N O k GG EU M E
ㄷㅏㄷㅇㅏ	D A D A
ㅁㅏㅇㅡㅁㅇㅔ	M A EU M E
ㅁㅕㅊㅣㄹ	M iEO CHh I L
ㅂㅣㄹㄹㅕㅈㅜㄹ	B I L L iEO J U L
ㅃㅏㄹㄱㅏㄴㅅㅐㄱ	BB A L G A N S E k
ㅅㅏㅇㅢ	S A euI
ㄲㅡㅌㅇㅣ	GG EU Th I
ㅅㅐㅇㅎㅘㄹㅇㅣ	S E NG H oA R I
ㄴㅏㄹㅆㅣㄱㅏ	N A L SS I G A
ㅅㅟㄹ	S UI L
ㅁㅗㅅㅎㅏㄴㄷㅏㅁㅕㄴ	M O Th A N D A M iEO N
ㅁㅏㄹㅎㅏㄱㅣㅇㅘ	M A R H A G I oA
ㅁㅜㄴㅇㅏㄴ	M U N A N
ㄴㅏㄱㅏㅆㅇㅓㅇㅛ	N A G A SS EO iO
ㅅㅐㄹㅗ	S E R O
ㄴㅐ	N E
ㄹㅏㅁㅕㄴㅇㅣ	R A M iEO N I
ㄷㅗㅊㅏㄱㅎㅐㅆㅇㅓㅇㅛ	D O CHh A Kh E SS EO iO
ㄴㅐㅇㅣㄹ	N E I R
ㅅㅣㄹㄹㅕㄱ	S I L L iEO k
ㅂㅏㄷㅏㅇㅢ	B A D A euI
ㅇㅏㅅㅔㅇㅛ	A S E iO
ㅂㅏㄲㅇㅡㄴ	B A GG EU N
ㄷㅏㄷㄴㅡㄴ	D A N N EU N
ㅂㅗㄹㅏㅅㅐㄱ	B O R A S E k
ㄷㅔ	D E
ㄴㅗㄱㄱㅣ	N O k GG I
ㄴㅜㄱㅏ	N U G A
ㄴㅡㄺㅇㅓㄱㅏㄴㅡㄴ	N EU L G EO G A N EU N
ㄴㅡㅈㅇㅓㅆㅇㅓ	N EU J EO SS EO
ㄷㅏㅅㅣ	D A S I
ㅇㅏㄶㅇㅡㄹ	A N EU L
ㅅㅜㄱㅗㅎㅏㄷㅏ	S U G O A D A
ㅂㅜㅇㅓㅋ	B U EO Kh
ㅅㅣㅇㅔ	S I E
ㅃㅏㅈㅕㅆㄴㅔㅇㅛ	BB A J iEO N N E iO
